
============================================================
p-Laplacian Aronsson Example
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: PLaplacianPINN on Square [-1,1]²
  Hidden layers: [128, 128, 128, 128], activation: tanh
  η=1e-05, clip_residual=100.0, clip_grad_norm=1.0
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:   1000 | α=1e-05 | Loss: 2.3112e-02 | BC: 2.2294e-02 | PDE: 8.1795e+01 | Val: 3.6432e-04 | Test: 6.4019e-04 | LR=1.0e-03 *
Epoch   2/100 | Steps:   2000 | α=1e-05 | Loss: 4.1830e-04 | BC: 3.2065e-04 | PDE: 9.7650e+00 | Val: 3.9885e-04 | Test: 6.0804e-04 | LR=1.0e-03
Epoch   3/100 | Steps:   3000 | α=1e-05 | Loss: 3.5658e-04 | BC: 2.9408e-04 | PDE: 6.2499e+00 | Val: 1.1949e-04 | Test: 3.2067e-04 | LR=1.0e-03 *
Epoch   4/100 | Steps:   4000 | α=1e-05 | Loss: 2.8515e-04 | BC: 2.4046e-04 | PDE: 4.4686e+00 | Val: 7.0724e-04 | Test: 5.8323e-04 | LR=1.0e-03
Epoch   5/100 | Steps:   5000 | α=1e-05 | Loss: 2.1370e-04 | BC: 1.8336e-04 | PDE: 3.0341e+00 | Val: 4.0947e-04 | Test: 4.7972e-04 | LR=1.0e-03
Epoch   6/100 | Steps:   6000 | α=1e-05 | Loss: 2.2962e-04 | BC: 2.0700e-04 | PDE: 2.2617e+00 | Val: 2.9509e-05 | Test: 1.5753e-04 | LR=9.9e-04 *
Epoch   7/100 | Steps:   7000 | α=1e-05 | Loss: 1.3264e-04 | BC: 1.1385e-04 | PDE: 1.8784e+00 | Val: 2.2528e-05 | Test: 1.3275e-04 | LR=9.9e-04 *
Epoch   8/100 | Steps:   8000 | α=1e-05 | Loss: 1.7706e-04 | BC: 1.5992e-04 | PDE: 1.7141e+00 | Val: 2.7594e-05 | Test: 1.5705e-04 | LR=9.9e-04
Epoch   9/100 | Steps:   9000 | α=1e-05 | Loss: 1.4528e-04 | BC: 1.3019e-04 | PDE: 1.5092e+00 | Val: 1.1415e-05 | Test: 1.4206e-04 | LR=9.8e-04 *
Epoch  10/100 | Steps:  10000 | α=1e-05 | Loss: 1.2477e-04 | BC: 1.1134e-04 | PDE: 1.3424e+00 | Val: 2.0012e-05 | Test: 1.3450e-04 | LR=9.8e-04
Epoch  11/100 | Steps:  11000 | α=1e-05 | Loss: 1.1722e-04 | BC: 1.0509e-04 | PDE: 1.2129e+00 | Val: 3.2805e-05 | Test: 1.4938e-04 | LR=9.8e-04
