
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,025

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 2.7211e-05 | BC: 1.9180e-05 | PDE: 8.0313e-02 | Val: 2.2233e-05 | Test: 2.8398e-05 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 2.5367e-05 | BC: 1.7608e-05 | PDE: 7.7581e-02 | Val: 1.2179e-05 | Test: 2.1632e-05 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 2.5590e-05 | BC: 1.8117e-05 | PDE: 7.4732e-02 | Val: 9.4206e-06 | Test: 2.1415e-05 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e-04 | Loss: 2.3638e-05 | BC: 1.6465e-05 | PDE: 7.1733e-02 | Val: 6.5943e-06 | Test: 1.2156e-05 | LR=8.3e-04 *
Epoch  29/100 | Steps:  29000 | α=1e-04 | Loss: 2.2056e-05 | BC: 1.5148e-05 | PDE: 6.9083e-02 | Val: 7.7438e-06 | Test: 1.2613e-05 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-04 | Loss: 2.0752e-05 | BC: 1.4105e-05 | PDE: 6.6473e-02 | Val: 4.6524e-06 | Test: 1.0742e-05 | LR=8.1e-04 *
Epoch  31/100 | Steps:  31000 | α=1e-04 | Loss: 2.1842e-05 | BC: 1.5432e-05 | PDE: 6.4101e-02 | Val: 5.3597e-06 | Test: 1.0287e-05 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=1e-04 | Loss: 1.9357e-05 | BC: 1.3145e-05 | PDE: 6.2125e-02 | Val: 8.8615e-05 | Test: 8.4014e-05 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | α=1e-04 | Loss: 1.8896e-05 | BC: 1.2841e-05 | PDE: 6.0557e-02 | Val: 6.5705e-06 | Test: 1.5801e-05 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-04 | Loss: 1.8762e-05 | BC: 1.2854e-05 | PDE: 5.9077e-02 | Val: 6.7646e-06 | Test: 1.6095e-05 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-04 | Loss: 1.7780e-05 | BC: 1.1995e-05 | PDE: 5.7857e-02 | Val: 2.2236e-05 | Test: 1.3322e-05 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-04 | Loss: 1.7947e-05 | BC: 1.2250e-05 | PDE: 5.6972e-02 | Val: 8.2470e-06 | Test: 2.0904e-05 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e-04 | Loss: 1.5917e-05 | BC: 1.0311e-05 | PDE: 5.6062e-02 | Val: 7.4932e-06 | Test: 1.7594e-05 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-04 | Loss: 1.5529e-05 | BC: 9.9732e-06 | PDE: 5.5561e-02 | Val: 8.4575e-06 | Test: 1.4344e-05 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-04 | Loss: 1.5961e-05 | BC: 1.0523e-05 | PDE: 5.4374e-02 | Val: 4.0400e-06 | Test: 1.1517e-05 | LR=6.9e-04 *
Epoch  40/100 | Steps:  40000 | α=1e-04 | Loss: 1.4653e-05 | BC: 9.2874e-06 | PDE: 5.3660e-02 | Val: 7.7940e-06 | Test: 1.6792e-05 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e-04 | Loss: 1.4145e-05 | BC: 8.8427e-06 | PDE: 5.3025e-02 | Val: 8.8142e-06 | Test: 2.1961e-05 | LR=6.6e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=8.5042e-06) <<<
Epoch  42/100 | Steps:  42000 | α=1e-03 | Loss: 1.3739e-05 | BC: 8.5042e-06 | PDE: 5.2344e-02 | Val: 4.5498e-06 | Test: 1.0327e-05 | LR=6.4e-04 *
Epoch  43/100 | Steps:  43000 | α=1e-03 | Loss: 5.4535e-05 | BC: 1.1028e-05 | PDE: 4.3507e-02 | Val: 1.4930e-05 | Test: 1.7983e-05 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e-03 | Loss: 5.1053e-05 | BC: 1.0545e-05 | PDE: 4.0508e-02 | Val: 1.5720e-05 | Test: 2.1440e-05 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=1e-03 | Loss: 5.1588e-05 | BC: 1.3114e-05 | PDE: 3.8474e-02 | Val: 5.4339e-06 | Test: 1.5136e-05 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=1e-03 | Loss: 4.3935e-05 | BC: 8.0301e-06 | PDE: 3.5905e-02 | Val: 1.3054e-05 | Test: 1.8515e-05 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=1e-03 | Loss: 4.1584e-05 | BC: 8.1811e-06 | PDE: 3.3403e-02 | Val: 4.7444e-06 | Test: 1.5127e-05 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | α=1e-03 | Loss: 3.9281e-05 | BC: 8.2378e-06 | PDE: 3.1043e-02 | Val: 4.1753e-06 | Test: 1.2057e-05 | LR=5.5e-04 *
