
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  27/100 | Steps:  27000 | α=1e-03 | Loss: 5.3434e-05 | BC: 3.6179e-05 | PDE: 1.7255e-02 | Val: 2.9249e-05 | Test: 2.2699e-05 | 
Epoch  28/100 | Steps:  28000 | α=1e-03 | Loss: 6.3280e-05 | BC: 4.8929e-05 | PDE: 1.4350e-02 | Val: 3.6442e-05 | Test: 2.0219e-05 | 
Epoch  29/100 | Steps:  29000 | α=1e-03 | Loss: 6.0754e-05 | BC: 4.8546e-05 | PDE: 1.2209e-02 | Val: 1.6973e-05 | Test: 1.5701e-05 | 
Epoch  30/100 | Steps:  30000 | α=1e-03 | Loss: 6.8614e-05 | BC: 5.7295e-05 | PDE: 1.1319e-02 | Val: 1.8314e-05 | Test: 1.3988e-05 | 
Epoch  31/100 | Steps:  31000 | α=1e-03 | Loss: 4.5206e-05 | BC: 3.6235e-05 | PDE: 8.9710e-03 | Val: 4.2147e-06 | Test: 7.0255e-06 | 
Epoch  32/100 | Steps:  32000 | α=1e-03 | Loss: 6.6360e-05 | BC: 5.7762e-05 | PDE: 8.5975e-03 | Val: 6.7864e-07 | Test: 2.5826e-06 |  *
Epoch  33/100 | Steps:  33000 | α=1e-03 | Loss: 3.8211e-05 | BC: 3.0527e-05 | PDE: 7.6842e-03 | Val: 9.8031e-06 | Test: 7.5115e-06 | 
Epoch  34/100 | Steps:  34000 | α=1e-03 | Loss: 5.2090e-05 | BC: 4.4921e-05 | PDE: 7.1681e-03 | Val: 1.8454e-05 | Test: 1.6460e-05 | 
Epoch  35/100 | Steps:  35000 | α=1e-03 | Loss: 3.9538e-05 | BC: 3.3186e-05 | PDE: 6.3521e-03 | Val: 3.6796e-06 | Test: 3.7549e-06 | 

>>> Alpha increased: 1e-03 → 1e-02 (BC=3.8336e-05) <<<
Epoch  36/100 | Steps:  36000 | α=1e-02 | Loss: 4.4339e-05 | BC: 3.8336e-05 | PDE: 6.0028e-03 | Val: 1.2702e-04 | Test: 1.0452e-04 |  *
Epoch  37/100 | Steps:  37000 | α=1e-02 | Loss: 1.4539e-04 | BC: 7.7998e-05 | PDE: 6.7396e-03 | Val: 5.4793e-06 | Test: 7.6133e-06 |  *
Epoch  38/100 | Steps:  38000 | α=1e-02 | Loss: 6.7567e-05 | BC: 3.1185e-05 | PDE: 3.6382e-03 | Val: 8.1674e-05 | Test: 6.5741e-05 | 
Epoch  39/100 | Steps:  39000 | α=1e-02 | Loss: 7.0283e-05 | BC: 3.6688e-05 | PDE: 3.3595e-03 | Val: 1.5685e-05 | Test: 1.0473e-05 | 
Epoch  40/100 | Steps:  40000 | α=1e-02 | Loss: 7.7037e-05 | BC: 4.7468e-05 | PDE: 2.9569e-03 | Val: 1.1201e-05 | Test: 1.3603e-05 | 
Epoch  41/100 | Steps:  41000 | α=1e-02 | Loss: 6.2300e-05 | BC: 3.5944e-05 | PDE: 2.6356e-03 | Val: 7.5546e-06 | Test: 1.6757e-05 | 
Epoch  42/100 | Steps:  42000 | α=1e-02 | Loss: 5.4771e-05 | BC: 3.0994e-05 | PDE: 2.3776e-03 | Val: 7.6294e-05 | Test: 5.2829e-05 | 
Epoch  43/100 | Steps:  43000 | α=1e-02 | Loss: 5.8501e-05 | BC: 3.7666e-05 | PDE: 2.0835e-03 | Val: 6.7512e-05 | Test: 3.9613e-05 | 

>>> Alpha increased: 1e-02 → 1e-01 (BC=3.8440e-05) <<<
Epoch  44/100 | Steps:  44000 | α=1e-01 | Loss: 5.6372e-05 | BC: 3.8440e-05 | PDE: 1.7933e-03 | Val: 7.2528e-06 | Test: 1.1876e-05 |  *
Epoch  45/100 | Steps:  45000 | α=1e-01 | Loss: 9.7002e-04 | BC: 2.5870e-04 | PDE: 7.1132e-03 | Val: 5.3783e-05 | Test: 3.0795e-05 | 
Epoch  46/100 | Steps:  46000 | α=1e-01 | Loss: 4.2129e-04 | BC: 9.8472e-05 | PDE: 3.2281e-03 | Val: 3.5894e-05 | Test: 4.1402e-05 | 
Epoch  47/100 | Steps:  47000 | α=1e-01 | Loss: 2.6922e-04 | BC: 6.2897e-05 | PDE: 2.0632e-03 | Val: 1.4086e-04 | Test: 9.4622e-05 | 
Epoch  48/100 | Steps:  48000 | α=1e-01 | Loss: 2.6648e-04 | BC: 6.8831e-05 | PDE: 1.9765e-03 | Val: 4.7434e-05 | Test: 2.8241e-05 | 
Epoch  49/100 | Steps:  49000 | α=1e-01 | Loss: 7.8448e-04 | BC: 2.4959e-04 | PDE: 5.3490e-03 | Val: 1.6594e-04 | Test: 1.6255e-04 | 
Epoch  50/100 | Steps:  50000 | α=1e-01 | Loss: 3.0636e-04 | BC: 9.7121e-05 | PDE: 2.0924e-03 | Val: 4.7729e-03 | Test: 3.1906e-03 | 
Epoch  51/100 | Steps:  51000 | α=1e-01 | Loss: 2.3429e-03 | BC: 6.9680e-04 | PDE: 1.6461e-02 | Val: 2.2587e-05 | Test: 9.9573e-06 | 
Epoch  52/100 | Steps:  52000 | α=1e-01 | Loss: 5.2893e-04 | BC: 1.4501e-04 | PDE: 3.8392e-03 | Val: 1.8662e-03 | Test: 2.4183e-03 | 
Epoch  53/100 | Steps:  53000 | α=1e-01 | Loss: 2.0582e-04 | BC: 4.6141e-05 | PDE: 1.5968e-03 | Val: 2.6968e-05 | Test: 4.3180e-05 | 
Epoch  54/100 | Steps:  54000 | α=1e-01 | Loss: 1.3309e-04 | BC: 4.0707e-05 | PDE: 9.2382e-04 | Val: 1.8762e-05 | Test: 1.4707e-05 | 
Epoch  55/100 | Steps:  55000 | α=1e-01 | Loss: 1.3109e-04 | BC: 4.3301e-05 | PDE: 8.7786e-04 | Val: 3.5812e-05 | Test: 5.0755e-05 | 
