
============================================================
Running Example: aronsson_square
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: ReLoBRaLo
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  23/100 | Steps:  23000 | w_bc=0.86 w_pde=1.14 | Loss: 1.1664e-02 | BC: 3.6236e-03 | PDE: 7.4512e-03 | Val: 2.8748e-03 | Test: 8.0195e-01 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | w_bc=0.86 w_pde=1.14 | Loss: 1.2075e-02 | BC: 3.6300e-03 | PDE: 7.8405e-03 | Val: 3.3517e-03 | Test: 7.7689e-01 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | w_bc=0.90 w_pde=1.10 | Loss: 9.2280e-03 | BC: 3.1757e-03 | PDE: 5.7359e-03 | Val: 2.7661e-03 | Test: 8.1700e-01 | LR=8.7e-04 *
Epoch  26/100 | Steps:  26000 | w_bc=0.94 w_pde=1.06 | Loss: 7.6939e-03 | BC: 2.9139e-03 | PDE: 4.6347e-03 | Val: 2.4216e-03 | Test: 8.1284e-01 | LR=8.6e-04 *
Epoch  27/100 | Steps:  27000 | w_bc=0.98 w_pde=1.02 | Loss: 7.4226e-03 | BC: 2.8946e-03 | PDE: 4.4876e-03 | Val: 2.7345e-03 | Test: 8.0894e-01 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | w_bc=1.00 w_pde=1.00 | Loss: 7.4959e-03 | BC: 2.8639e-03 | PDE: 4.6068e-03 | Val: 2.6692e-03 | Test: 8.1818e-01 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | w_bc=1.03 w_pde=0.97 | Loss: 7.1593e-03 | BC: 2.8891e-03 | PDE: 4.2810e-03 | Val: 2.4123e-03 | Test: 8.2050e-01 | LR=8.2e-04 *
Epoch  30/100 | Steps:  30000 | w_bc=1.03 w_pde=0.97 | Loss: 6.8939e-03 | BC: 2.7851e-03 | PDE: 4.1574e-03 | Val: 2.8446e-03 | Test: 8.0537e-01 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | w_bc=1.03 w_pde=0.97 | Loss: 6.6931e-03 | BC: 2.7746e-03 | PDE: 3.9510e-03 | Val: 2.6470e-03 | Test: 8.0749e-01 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | w_bc=1.05 w_pde=0.95 | Loss: 6.5087e-03 | BC: 2.7647e-03 | PDE: 3.7880e-03 | Val: 2.4220e-03 | Test: 8.1939e-01 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | w_bc=1.10 w_pde=0.90 | Loss: 5.3127e-03 | BC: 2.5655e-03 | PDE: 2.7590e-03 | Val: 2.4713e-03 | Test: 8.2642e-01 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | w_bc=1.17 w_pde=0.83 | Loss: 4.6611e-03 | BC: 2.4317e-03 | PDE: 2.2072e-03 | Val: 3.3106e-03 | Test: 8.1462e-01 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | w_bc=1.15 w_pde=0.85 | Loss: 5.6302e-03 | BC: 2.5577e-03 | PDE: 3.1691e-03 | Val: 2.6383e-03 | Test: 7.9941e-01 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | w_bc=1.12 w_pde=0.88 | Loss: 5.7738e-03 | BC: 2.5492e-03 | PDE: 3.3297e-03 | Val: 2.3021e-03 | Test: 8.3167e-01 | LR=7.3e-04 *
Epoch  37/100 | Steps:  37000 | w_bc=1.15 w_pde=0.85 | Loss: 4.8371e-03 | BC: 2.4531e-03 | PDE: 2.3763e-03 | Val: 2.7563e-03 | Test: 7.9972e-01 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | w_bc=1.11 w_pde=0.89 | Loss: 6.0852e-03 | BC: 2.5866e-03 | PDE: 3.6248e-03 | Val: 2.2966e-03 | Test: 8.2509e-01 | LR=7.0e-04 *
Epoch  39/100 | Steps:  39000 | w_bc=1.18 w_pde=0.82 | Loss: 4.2164e-03 | BC: 2.3718e-03 | PDE: 1.7514e-03 | Val: 2.1920e-03 | Test: 8.3033e-01 | LR=6.9e-04 *
Epoch  40/100 | Steps:  40000 | w_bc=1.18 w_pde=0.82 | Loss: 4.8188e-03 | BC: 2.4222e-03 | PDE: 2.3883e-03 | Val: 2.4764e-03 | Test: 8.1311e-01 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | w_bc=1.18 w_pde=0.82 | Loss: 5.3315e-03 | BC: 2.4996e-03 | PDE: 2.9102e-03 | Val: 2.8686e-03 | Test: 7.9958e-01 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | w_bc=1.19 w_pde=0.81 | Loss: 5.1277e-03 | BC: 2.6170e-03 | PDE: 2.4825e-03 | Val: 2.3561e-03 | Test: 8.2437e-01 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | w_bc=1.25 w_pde=0.75 | Loss: 3.8708e-03 | BC: 2.3162e-03 | PDE: 1.3454e-03 | Val: 2.1767e-03 | Test: 8.3473e-01 | LR=6.3e-04 *
Epoch  44/100 | Steps:  44000 | w_bc=1.19 w_pde=0.81 | Loss: 5.2993e-03 | BC: 2.4074e-03 | PDE: 3.0271e-03 | Val: 2.1909e-03 | Test: 8.4339e-01 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | w_bc=1.27 w_pde=0.73 | Loss: 3.6017e-03 | BC: 2.2303e-03 | PDE: 1.1086e-03 | Val: 2.1901e-03 | Test: 8.3693e-01 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | w_bc=1.26 w_pde=0.74 | Loss: 4.1097e-03 | BC: 2.2612e-03 | PDE: 1.6790e-03 | Val: 2.3233e-03 | Test: 8.2065e-01 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | w_bc=1.23 w_pde=0.77 | Loss: 4.4541e-03 | BC: 2.3090e-03 | PDE: 2.0976e-03 | Val: 2.1751e-03 | Test: 8.4604e-01 | LR=5.7e-04 *
Epoch  48/100 | Steps:  48000 | w_bc=1.24 w_pde=0.76 | Loss: 4.1538e-03 | BC: 2.2819e-03 | PDE: 1.7515e-03 | Val: 2.2516e-03 | Test: 8.3262e-01 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | w_bc=1.28 w_pde=0.72 | Loss: 3.6956e-03 | BC: 2.2512e-03 | PDE: 1.1481e-03 | Val: 2.3178e-03 | Test: 8.3281e-01 | LR=5.4e-04
Epoch  50/100 | Steps:  50000 | w_bc=1.27 w_pde=0.73 | Loss: 4.0780e-03 | BC: 2.2829e-03 | PDE: 1.5938e-03 | Val: 2.2949e-03 | Test: 8.2237e-01 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | w_bc=1.24 w_pde=0.76 | Loss: 4.2709e-03 | BC: 2.3002e-03 | PDE: 1.8614e-03 | Val: 2.2819e-03 | Test: 8.3595e-01 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | w_bc=1.28 w_pde=0.72 | Loss: 3.4944e-03 | BC: 2.1804e-03 | PDE: 9.9001e-04 | Val: 2.2353e-03 | Test: 8.4647e-01 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | w_bc=1.27 w_pde=0.73 | Loss: 4.0819e-03 | BC: 2.2586e-03 | PDE: 1.6641e-03 | Val: 2.2476e-03 | Test: 8.4793e-01 | LR=4.7e-04
Epoch  54/100 | Steps:  54000 | w_bc=1.30 w_pde=0.70 | Loss: 3.5889e-03 | BC: 2.2064e-03 | PDE: 1.0439e-03 | Val: 2.2338e-03 | Test: 8.4136e-01 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | w_bc=1.31 w_pde=0.69 | Loss: 3.6276e-03 | BC: 2.1747e-03 | PDE: 1.1281e-03 | Val: 2.1705e-03 | Test: 8.3154e-01 | LR=4.4e-04 *
Epoch  56/100 | Steps:  56000 | w_bc=1.30 w_pde=0.70 | Loss: 3.7530e-03 | BC: 2.2177e-03 | PDE: 1.2437e-03 | Val: 2.0522e-03 | Test: 8.5155e-01 | LR=4.3e-04 *
Epoch  57/100 | Steps:  57000 | w_bc=1.30 w_pde=0.70 | Loss: 3.4739e-03 | BC: 2.1059e-03 | PDE: 1.0223e-03 | Val: 2.1958e-03 | Test: 8.3936e-01 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | w_bc=1.30 w_pde=0.70 | Loss: 3.6116e-03 | BC: 2.1309e-03 | PDE: 1.2083e-03 | Val: 2.1943e-03 | Test: 8.4029e-01 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | w_bc=1.35 w_pde=0.65 | Loss: 3.3837e-03 | BC: 2.1065e-03 | PDE: 8.9268e-04 | Val: 2.0210e-03 | Test: 8.4620e-01 | LR=3.8e-04 *
Epoch  60/100 | Steps:  60000 | w_bc=1.33 w_pde=0.67 | Loss: 3.4700e-03 | BC: 2.0892e-03 | PDE: 1.0156e-03 | Val: 2.0729e-03 | Test: 8.4689e-01 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | w_bc=1.31 w_pde=0.69 | Loss: 3.5612e-03 | BC: 2.1048e-03 | PDE: 1.1248e-03 | Val: 2.1624e-03 | Test: 8.6146e-01 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | w_bc=1.32 w_pde=0.68 | Loss: 3.3742e-03 | BC: 2.0698e-03 | PDE: 9.5770e-04 | Val: 2.1851e-03 | Test: 8.5427e-01 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | w_bc=1.34 w_pde=0.66 | Loss: 3.2510e-03 | BC: 2.0533e-03 | PDE: 7.7773e-04 | Val: 2.0212e-03 | Test: 8.5193e-01 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | w_bc=1.32 w_pde=0.68 | Loss: 3.3145e-03 | BC: 2.0316e-03 | PDE: 9.0937e-04 | Val: 1.9899e-03 | Test: 8.6087e-01 | LR=3.1e-04 *
Epoch  65/100 | Steps:  65000 | w_bc=1.30 w_pde=0.70 | Loss: 3.3235e-03 | BC: 2.0279e-03 | PDE: 9.6430e-04 | Val: 2.0085e-03 | Test: 8.5686e-01 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | w_bc=1.32 w_pde=0.68 | Loss: 3.1058e-03 | BC: 1.9880e-03 | PDE: 7.1900e-04 | Val: 2.0081e-03 | Test: 8.5376e-01 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | w_bc=1.32 w_pde=0.68 | Loss: 3.1969e-03 | BC: 1.9877e-03 | PDE: 8.4845e-04 | Val: 1.9770e-03 | Test: 8.5960e-01 | LR=2.7e-04 *
Epoch  68/100 | Steps:  68000 | w_bc=1.34 w_pde=0.66 | Loss: 3.0859e-03 | BC: 1.9560e-03 | PDE: 7.2145e-04 | Val: 1.9482e-03 | Test: 8.6357e-01 | LR=2.5e-04 *
Epoch  69/100 | Steps:  69000 | w_bc=1.34 w_pde=0.66 | Loss: 3.0540e-03 | BC: 1.9345e-03 | PDE: 7.0319e-04 | Val: 1.9335e-03 | Test: 8.5255e-01 | LR=2.4e-04 *
Epoch  70/100 | Steps:  70000 | w_bc=1.34 w_pde=0.66 | Loss: 3.0224e-03 | BC: 1.9193e-03 | PDE: 6.8249e-04 | Val: 1.9190e-03 | Test: 8.5358e-01 | LR=2.3e-04 *
Epoch  71/100 | Steps:  71000 | w_bc=1.35 w_pde=0.65 | Loss: 3.0038e-03 | BC: 1.9030e-03 | PDE: 6.7801e-04 | Val: 1.8790e-03 | Test: 8.6310e-01 | LR=2.1e-04 *
Epoch  72/100 | Steps:  72000 | w_bc=1.34 w_pde=0.66 | Loss: 2.9591e-03 | BC: 1.8806e-03 | PDE: 6.5640e-04 | Val: 1.8703e-03 | Test: 8.6970e-01 | LR=2.0e-04 *
Epoch  73/100 | Steps:  73000 | w_bc=1.34 w_pde=0.66 | Loss: 2.9452e-03 | BC: 1.8625e-03 | PDE: 6.7368e-04 | Val: 1.8518e-03 | Test: 8.6718e-01 | LR=1.9e-04 *
Epoch  74/100 | Steps:  74000 | w_bc=1.33 w_pde=0.67 | Loss: 2.9225e-03 | BC: 1.8491e-03 | PDE: 6.8251e-04 | Val: 1.8738e-03 | Test: 8.6338e-01 | LR=1.8e-04
Epoch  75/100 | Steps:  75000 | w_bc=1.32 w_pde=0.68 | Loss: 2.8627e-03 | BC: 1.8393e-03 | PDE: 6.2729e-04 | Val: 1.8618e-03 | Test: 8.6391e-01 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | w_bc=1.35 w_pde=0.65 | Loss: 2.8054e-03 | BC: 1.8202e-03 | PDE: 5.6612e-04 | Val: 1.7968e-03 | Test: 8.6368e-01 | LR=1.5e-04 *
Epoch  77/100 | Steps:  77000 | w_bc=1.34 w_pde=0.66 | Loss: 2.8034e-03 | BC: 1.7914e-03 | PDE: 6.0337e-04 | Val: 1.7894e-03 | Test: 8.7365e-01 | LR=1.4e-04 *
Epoch  78/100 | Steps:  78000 | w_bc=1.35 w_pde=0.65 | Loss: 2.7741e-03 | BC: 1.7842e-03 | PDE: 5.7529e-04 | Val: 1.7531e-03 | Test: 8.6902e-01 | LR=1.3e-04 *
Epoch  79/100 | Steps:  79000 | w_bc=1.34 w_pde=0.66 | Loss: 2.7680e-03 | BC: 1.7686e-03 | PDE: 5.9425e-04 | Val: 1.7535e-03 | Test: 8.7671e-01 | LR=1.2e-04
Epoch  80/100 | Steps:  80000 | w_bc=1.34 w_pde=0.66 | Loss: 2.7203e-03 | BC: 1.7575e-03 | PDE: 5.4645e-04 | Val: 1.7677e-03 | Test: 8.7570e-01 | LR=1.1e-04
Epoch  81/100 | Steps:  81000 | w_bc=1.33 w_pde=0.67 | Loss: 2.7098e-03 | BC: 1.7472e-03 | PDE: 5.5849e-04 | Val: 1.7346e-03 | Test: 8.7342e-01 | LR=1.0e-04 *
Epoch  82/100 | Steps:  82000 | w_bc=1.35 w_pde=0.65 | Loss: 2.6745e-03 | BC: 1.7427e-03 | PDE: 5.1233e-04 | Val: 1.7437e-03 | Test: 8.7599e-01 | LR=9.6e-05
Epoch  83/100 | Steps:  83000 | w_bc=1.35 w_pde=0.65 | Loss: 2.6727e-03 | BC: 1.7303e-03 | PDE: 5.1724e-04 | Val: 1.7252e-03 | Test: 8.7505e-01 | LR=8.7e-05 *
Epoch  84/100 | Steps:  84000 | w_bc=1.35 w_pde=0.65 | Loss: 2.6639e-03 | BC: 1.7259e-03 | PDE: 5.1639e-04 | Val: 1.7312e-03 | Test: 8.7143e-01 | LR=7.9e-05
Epoch  85/100 | Steps:  85000 | w_bc=1.36 w_pde=0.64 | Loss: 2.6383e-03 | BC: 1.7212e-03 | PDE: 4.7848e-04 | Val: 1.7159e-03 | Test: 8.8149e-01 | LR=7.1e-05 *
Epoch  86/100 | Steps:  86000 | w_bc=1.36 w_pde=0.64 | Loss: 2.6256e-03 | BC: 1.7109e-03 | PDE: 4.6898e-04 | Val: 1.6921e-03 | Test: 8.8516e-01 | LR=6.4e-05 *
Epoch  87/100 | Steps:  87000 | w_bc=1.36 w_pde=0.64 | Loss: 2.6046e-03 | BC: 1.6925e-03 | PDE: 4.7091e-04 | Val: 1.6817e-03 | Test: 8.8030e-01 | LR=5.7e-05 *
Epoch  88/100 | Steps:  88000 | w_bc=1.36 w_pde=0.64 | Loss: 2.6066e-03 | BC: 1.6931e-03 | PDE: 4.6671e-04 | Val: 1.6819e-03 | Test: 8.8038e-01 | LR=5.1e-05
Epoch  89/100 | Steps:  89000 | w_bc=1.37 w_pde=0.63 | Loss: 2.5818e-03 | BC: 1.6811e-03 | PDE: 4.4151e-04 | Val: 1.6858e-03 | Test: 8.8184e-01 | LR=4.5e-05
Epoch  90/100 | Steps:  90000 | w_bc=1.36 w_pde=0.64 | Loss: 2.5978e-03 | BC: 1.6804e-03 | PDE: 4.7767e-04 | Val: 1.7225e-03 | Test: 8.8662e-01 | LR=3.9e-05
Epoch  91/100 | Steps:  91000 | w_bc=1.37 w_pde=0.63 | Loss: 2.5613e-03 | BC: 1.6751e-03 | PDE: 4.3055e-04 | Val: 1.6668e-03 | Test: 8.8277e-01 | LR=3.4e-05 *
Epoch  92/100 | Steps:  92000 | w_bc=1.37 w_pde=0.63 | Loss: 2.5573e-03 | BC: 1.6681e-03 | PDE: 4.2969e-04 | Val: 1.6684e-03 | Test: 8.8259e-01 | LR=3.0e-05
Epoch  93/100 | Steps:  93000 | w_bc=1.37 w_pde=0.63 | Loss: 2.5471e-03 | BC: 1.6579e-03 | PDE: 4.2726e-04 | Val: 1.6702e-03 | Test: 8.8681e-01 | LR=2.6e-05
Epoch  94/100 | Steps:  94000 | w_bc=1.37 w_pde=0.63 | Loss: 2.5332e-03 | BC: 1.6524e-03 | PDE: 4.1946e-04 | Val: 1.6661e-03 | Test: 8.8362e-01 | LR=2.2e-05 *
Epoch  95/100 | Steps:  95000 | w_bc=1.36 w_pde=0.64 | Loss: 2.5207e-03 | BC: 1.6506e-03 | PDE: 4.1907e-04 | Val: 1.6528e-03 | Test: 8.8351e-01 | LR=1.9e-05 *
Epoch  96/100 | Steps:  96000 | w_bc=1.37 w_pde=0.63 | Loss: 2.5207e-03 | BC: 1.6557e-03 | PDE: 4.0704e-04 | Val: 1.6532e-03 | Test: 8.8671e-01 | LR=1.6e-05
Epoch  97/100 | Steps:  97000 | w_bc=1.37 w_pde=0.63 | Loss: 2.5083e-03 | BC: 1.6470e-03 | PDE: 4.0626e-04 | Val: 1.6353e-03 | Test: 8.8478e-01 | LR=1.4e-05 *
Epoch  98/100 | Steps:  98000 | w_bc=1.37 w_pde=0.63 | Loss: 2.5058e-03 | BC: 1.6445e-03 | PDE: 4.0857e-04 | Val: 1.6529e-03 | Test: 8.8335e-01 | LR=1.2e-05
Epoch  99/100 | Steps:  99000 | w_bc=1.37 w_pde=0.63 | Loss: 2.4924e-03 | BC: 1.6401e-03 | PDE: 3.9557e-04 | Val: 1.6380e-03 | Test: 8.8341e-01 | LR=1.1e-05
Epoch 100/100 | Steps: 100000 | w_bc=1.37 w_pde=0.63 | Loss: 2.4978e-03 | BC: 1.6389e-03 | PDE: 4.0734e-04 | Val: 1.6448e-03 | Test: 8.8608e-01 | LR=1.0e-05

Restored best model from epoch 97 (val_loss: 1.6353e-03, test_loss: 8.8478e-01)
Best checkpoint saved to: outputs/expr_7_1/aronsson_square/relobralo/checkpoints/best_model.pt
Final checkpoint saved to: outputs/expr_7_1/aronsson_square/relobralo/checkpoints/final_model.pt
Training completed in 1268.97s (100,000 total steps)

Final Test MSE: 8.8608e-01
Inference (per point): 1.4619e-04s | (full domain): 1.4526e-04s
Saved plot to outputs/expr_7_1/aronsson_square/relobralo/plots/results.png
