
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [16, 16, 16, 16]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,524

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  22/100 | Steps:  22000 | α=1e-03 | Loss: 2.1213e-04 | BC: 8.1624e-05 | PDE: 9.3108e-02 | Intf: 3.7402e-05 | Val: 1.5804e-05 | Test: 2.8601e-04 | LR=9.0e-04 *
Epoch  23/100 | Steps:  23000 | α=1e-03 | Loss: 1.9381e-04 | BC: 8.9150e-05 | PDE: 6.6032e-02 | Intf: 3.8629e-05 | Val: 1.5315e-04 | Test: 3.0279e-04 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | α=1e-03 | Loss: 1.5585e-04 | BC: 7.0612e-05 | PDE: 4.7924e-02 | Intf: 3.7311e-05 | Val: 9.0125e-05 | Test: 1.6719e-04 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | α=1e-03 | Loss: 4.5328e-04 | BC: 2.7790e-04 | PDE: 3.9549e-02 | Intf: 1.3583e-04 | Val: 1.8530e-05 | Test: 1.2404e-04 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-03 | Loss: 1.8565e-04 | BC: 6.8246e-05 | PDE: 5.1423e-02 | Intf: 6.5978e-05 | Val: 6.5450e-04 | Test: 6.1355e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-03 | Loss: 1.9267e-04 | BC: 7.5399e-05 | PDE: 4.3592e-02 | Intf: 7.3676e-05 | Val: 4.0349e-04 | Test: 4.2687e-04 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e-03 | Loss: 1.6847e-04 | BC: 6.5874e-05 | PDE: 3.8904e-02 | Intf: 6.3689e-05 | Val: 5.7562e-06 | Test: 8.5298e-05 | LR=8.3e-04 *

>>> Alpha increased: 1e-03 → 1e-02 (BC=8.4838e-05) <<<
Epoch  29/100 | Steps:  29000 | α=1e-02 | Loss: 2.0388e-04 | BC: 8.4838e-05 | PDE: 3.4391e-02 | Intf: 8.4651e-05 | Val: 4.3589e-06 | Test: 7.9098e-05 | LR=8.2e-04 *
