
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  25000 | α=1e-01 | Loss: 1.4980e-04 | BC: 6.5276e-05 | PDE: 8.4521e-04 | Val: 5.1465e-05 | Test: 9.4381e-04 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-01 | Loss: 1.7213e-04 | BC: 7.4913e-05 | PDE: 9.7219e-04 | Val: 2.3287e-05 | Test: 8.9030e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-01 | Loss: 1.3486e-04 | BC: 5.4986e-05 | PDE: 7.9877e-04 | Val: 3.5079e-05 | Test: 9.5878e-04 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e-01 | Loss: 1.0939e-04 | BC: 4.5276e-05 | PDE: 6.4115e-04 | Val: 3.4573e-05 | Test: 9.0345e-04 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-01 | Loss: 1.6173e-04 | BC: 6.7407e-05 | PDE: 9.4324e-04 | Val: 8.7761e-05 | Test: 1.0880e-03 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-01 | Loss: 1.2701e-04 | BC: 5.4209e-05 | PDE: 7.2805e-04 | Val: 7.4412e-05 | Test: 9.1825e-04 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-01 | Loss: 1.2621e-04 | BC: 5.2538e-05 | PDE: 7.3671e-04 | Val: 4.7227e-05 | Test: 9.5875e-04 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=1e-01 | Loss: 9.0446e-05 | BC: 3.8185e-05 | PDE: 5.2261e-04 | Val: 1.9266e-05 | Test: 8.8175e-04 | LR=7.8e-04 *
Epoch  33/100 | Steps:  33000 | α=1e-01 | Loss: 6.1116e-04 | BC: 2.3779e-04 | PDE: 3.7337e-03 | Val: 3.9877e-03 | Test: 8.4380e-03 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-01 | Loss: 2.4970e-04 | BC: 9.7580e-05 | PDE: 1.5212e-03 | Val: 1.4774e-05 | Test: 8.9023e-04 | LR=7.6e-04 *
Epoch  35/100 | Steps:  35000 | α=1e-01 | Loss: 4.5847e-05 | BC: 1.7916e-05 | PDE: 2.7931e-04 | Val: 1.6334e-05 | Test: 8.0044e-04 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-01 | Loss: 6.6341e-05 | BC: 2.8284e-05 | PDE: 3.8057e-04 | Val: 8.1066e-06 | Test: 8.2629e-04 | LR=7.3e-04 *
Epoch  37/100 | Steps:  37000 | α=1e-01 | Loss: 8.6602e-05 | BC: 3.6309e-05 | PDE: 5.0293e-04 | Val: 1.2462e-05 | Test: 8.2541e-04 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-01 | Loss: 7.6213e-05 | BC: 3.0856e-05 | PDE: 4.5358e-04 | Val: 4.4103e-05 | Test: 8.7939e-04 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-01 | Loss: 2.5474e-03 | BC: 9.7335e-04 | PDE: 1.5740e-02 | Val: 2.2327e-04 | Test: 1.5680e-03 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-01 | Loss: 2.6878e-04 | BC: 1.2171e-04 | PDE: 1.4708e-03 | Val: 1.4377e-04 | Test: 1.6402e-03 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e-01 | Loss: 4.8415e-04 | BC: 1.8196e-04 | PDE: 3.0219e-03 | Val: 1.3028e-04 | Test: 1.1410e-03 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-01 | Loss: 9.2312e-04 | BC: 3.4350e-04 | PDE: 5.7962e-03 | Val: 7.2218e-05 | Test: 1.3661e-03 | LR=6.4e-04
