
============================================================
Eikonal Equation |∇u|² = 1 (2D)
Case: origin | Domain: square
============================================================

  Interior: 1,000,000  |  Test: 10,000
  Boundary points: 1,100
  Re-sampling enabled: ~1,000,000 interior points per epoch
  BC re-sampling enabled: origin case with radius=0.1

  Splitting: 80% train, 20% val
  BC: 880 train, 220 val
  Interior: 800,000 train, 200,000 val

Model: EikonalPINN (input_dim=2)
  Hidden layers: [128, 128, 128, 128], activation: tanh
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Positivity weight: 1.0
  Parameters: 50,049

Training configuration:
  Boundary points (train): 880 -> 3 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 220
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  25000 | α=1e+00 | Loss: 5.6359e-05 | BC: 1.7034e-05 | PDE: 3.9326e-05 | Val: 7.0182e-06 | Test: 2.7874e-03 | LR=8.7e-04 *
Epoch  26/100 | Steps:  26000 | α=1e+00 | Loss: 5.7058e-05 | BC: 1.5907e-05 | PDE: 4.1151e-05 | Val: 1.0305e-05 | Test: 2.5466e-03 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e+00 | Loss: 4.6700e-05 | BC: 1.3667e-05 | PDE: 3.3033e-05 | Val: 5.0230e-06 | Test: 2.1472e-03 | LR=8.4e-04 *
Epoch  28/100 | Steps:  28000 | α=1e+00 | Loss: 4.2595e-05 | BC: 1.3224e-05 | PDE: 2.9371e-05 | Val: 6.0026e-06 | Test: 1.7929e-03 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e+00 | Loss: 4.6866e-05 | BC: 1.3647e-05 | PDE: 3.3219e-05 | Val: 7.6551e-06 | Test: 1.4236e-03 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e+00 | Loss: 4.0195e-05 | BC: 1.2552e-05 | PDE: 2.7643e-05 | Val: 4.3889e-06 | Test: 1.1844e-03 | LR=8.1e-04 *
Epoch  31/100 | Steps:  31000 | α=1e+00 | Loss: 3.8598e-05 | BC: 1.1302e-05 | PDE: 2.7296e-05 | Val: 4.2866e-06 | Test: 9.3206e-04 | LR=8.0e-04 *
Epoch  32/100 | Steps:  32000 | α=1e+00 | Loss: 3.6212e-05 | BC: 1.0250e-05 | PDE: 2.5962e-05 | Val: 3.1809e-06 | Test: 9.4431e-04 | LR=7.8e-04 *
Epoch  33/100 | Steps:  33000 | α=1e+00 | Loss: 3.4354e-05 | BC: 1.0498e-05 | PDE: 2.3856e-05 | Val: 1.8779e-05 | Test: 7.2253e-04 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e+00 | Loss: 3.0763e-05 | BC: 9.4941e-06 | PDE: 2.1269e-05 | Val: 6.2500e-06 | Test: 7.6089e-04 | LR=7.6e-04
