
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  27/100 | Steps:  21168 | α=1e-03 | Loss: 5.8340e-05 | BC: 4.8114e-05 | PDE: 1.0225e-02 | Val: 5.2559e-05 | Test: 3.6115e-05 | 
Epoch  28/100 | Steps:  21952 | α=1e-03 | Loss: 6.2763e-05 | BC: 5.3750e-05 | PDE: 9.0132e-03 | Val: 2.8577e-06 | Test: 5.4640e-06 |  *

>>> Alpha increased: 1e-03 → 1e-02 (BC=6.5880e-05) <<<
Epoch  29/100 | Steps:  22736 | α=1e-02 | Loss: 7.4499e-05 | BC: 6.5880e-05 | PDE: 8.6190e-03 | Val: 1.5605e-05 | Test: 1.1459e-05 |  *
Epoch  30/100 | Steps:  23520 | α=1e-02 | Loss: 1.3096e-04 | BC: 5.7410e-05 | PDE: 7.3551e-03 | Val: 8.7240e-05 | Test: 7.3536e-05 | 
Epoch  31/100 | Steps:  24304 | α=1e-02 | Loss: 1.1823e-04 | BC: 6.2362e-05 | PDE: 5.5865e-03 | Val: 1.7629e-05 | Test: 1.7272e-05 | 
Epoch  32/100 | Steps:  25088 | α=1e-02 | Loss: 1.0032e-04 | BC: 5.3390e-05 | PDE: 4.6932e-03 | Val: 4.9704e-05 | Test: 4.3313e-05 | 
Epoch  33/100 | Steps:  25872 | α=1e-02 | Loss: 9.2560e-05 | BC: 5.3260e-05 | PDE: 3.9300e-03 | Val: 7.8727e-05 | Test: 7.1312e-05 | 
Epoch  34/100 | Steps:  26656 | α=1e-02 | Loss: 8.3018e-05 | BC: 4.9517e-05 | PDE: 3.3501e-03 | Val: 1.2098e-04 | Test: 9.2518e-05 | 
Epoch  35/100 | Steps:  27440 | α=1e-02 | Loss: 7.9803e-05 | BC: 4.8805e-05 | PDE: 3.0998e-03 | Val: 1.2563e-05 | Test: 2.1353e-05 |  *
Epoch  36/100 | Steps:  28224 | α=1e-02 | Loss: 1.1060e-03 | BC: 4.8488e-04 | PDE: 6.2115e-02 | Val: 9.3012e-05 | Test: 1.5396e-04 | 

>>> Alpha increased: 1e-02 → 1e-01 (BC=9.8122e-05) <<<
Epoch  37/100 | Steps:  29008 | α=1e-01 | Loss: 3.2691e-04 | BC: 9.8122e-05 | PDE: 2.2878e-02 | Val: 1.6734e-05 | Test: 2.6504e-05 |  *
Epoch  38/100 | Steps:  29792 | α=1e-01 | Loss: 1.9857e-03 | BC: 4.0281e-04 | PDE: 1.5829e-02 | Val: 5.2687e-05 | Test: 5.1517e-05 | 
Epoch  39/100 | Steps:  30576 | α=1e-01 | Loss: 9.1858e-04 | BC: 1.6796e-04 | PDE: 7.5062e-03 | Val: 2.6261e-04 | Test: 3.6918e-04 | 
Epoch  40/100 | Steps:  31360 | α=1e-01 | Loss: 6.0639e-04 | BC: 1.0961e-04 | PDE: 4.9678e-03 | Val: 1.5823e-04 | Test: 6.8254e-05 | 
Epoch  41/100 | Steps:  32144 | α=1e-01 | Loss: 9.1879e-04 | BC: 2.2061e-04 | PDE: 6.9818e-03 | Val: 7.6795e-05 | Test: 5.7430e-05 | 
Epoch  42/100 | Steps:  32928 | α=1e-01 | Loss: 3.8818e-04 | BC: 7.7802e-05 | PDE: 3.1038e-03 | Val: 9.7485e-05 | Test: 5.5041e-05 | 
Epoch  43/100 | Steps:  33712 | α=1e-01 | Loss: 4.2344e-04 | BC: 9.6777e-05 | PDE: 3.2667e-03 | Val: 1.9778e-05 | Test: 1.9293e-05 | 
Epoch  44/100 | Steps:  34496 | α=1e-01 | Loss: 4.5889e-04 | BC: 1.2325e-04 | PDE: 3.3564e-03 | Val: 3.3262e-05 | Test: 3.0767e-05 | 
Epoch  45/100 | Steps:  35280 | α=1e-01 | Loss: 2.6210e-04 | BC: 6.4604e-05 | PDE: 1.9750e-03 | Val: 3.3644e-05 | Test: 3.1803e-05 | 
