
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 33,537

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  19600 | α=1e-04 | Loss: 5.1670e-05 | BC: 3.8016e-05 | PDE: 1.3654e-01 | Val: 1.2512e-05 | Test: 1.7515e-04 | LR=8.7e-04
Epoch  26/100 | Steps:  20384 | α=1e-04 | Loss: 4.3737e-05 | BC: 3.3850e-05 | PDE: 9.8871e-02 | Val: 1.5041e-05 | Test: 1.3566e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  21168 | α=1e-04 | Loss: 4.0683e-05 | BC: 3.2567e-05 | PDE: 8.1160e-02 | Val: 1.1505e-05 | Test: 7.4557e-05 | LR=8.4e-04
Epoch  28/100 | Steps:  21952 | α=1e-04 | Loss: 3.5713e-05 | BC: 2.8622e-05 | PDE: 7.0907e-02 | Val: 9.8110e-06 | Test: 4.6309e-05 | LR=8.3e-04
Epoch  29/100 | Steps:  22736 | α=1e-04 | Loss: 3.3853e-05 | BC: 2.7456e-05 | PDE: 6.3972e-02 | Val: 8.8483e-06 | Test: 6.0845e-05 | LR=8.2e-04
Epoch  30/100 | Steps:  23520 | α=1e-04 | Loss: 3.2813e-05 | BC: 2.6984e-05 | PDE: 5.8291e-02 | Val: 2.2246e-06 | Test: 4.3123e-05 | LR=8.1e-04 *
Epoch  31/100 | Steps:  24304 | α=1e-04 | Loss: 3.2860e-05 | BC: 2.7386e-05 | PDE: 5.4743e-02 | Val: 3.9555e-06 | Test: 4.2384e-05 | LR=8.0e-04
Epoch  32/100 | Steps:  25088 | α=1e-04 | Loss: 3.0090e-05 | BC: 2.5008e-05 | PDE: 5.0824e-02 | Val: 6.8611e-05 | Test: 1.0771e-04 | LR=7.8e-04
Epoch  33/100 | Steps:  25872 | α=1e-04 | Loss: 3.2412e-05 | BC: 2.7553e-05 | PDE: 4.8585e-02 | Val: 1.6731e-06 | Test: 3.3003e-05 | LR=7.7e-04 *
Epoch  34/100 | Steps:  26656 | α=1e-04 | Loss: 1.9448e-05 | BC: 1.4932e-05 | PDE: 4.5163e-02 | Val: 1.1747e-05 | Test: 2.6451e-05 | LR=7.6e-04
Epoch  35/100 | Steps:  27440 | α=1e-04 | Loss: 2.5767e-05 | BC: 2.1483e-05 | PDE: 4.2839e-02 | Val: 1.8441e-05 | Test: 3.7749e-05 | LR=7.4e-04
