
============================================================
p-Laplacian Aronsson Example
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: PLaplacianPINN on Square [-1,1]²
  Hidden layers: [128, 128, 128, 128], activation: tanh
  η=0.0, clip_residual=100.0, clip_grad_norm=1.0
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 5.3383e-05 | BC: 4.4095e-05 | PDE: 9.2877e-02 | Val: 7.5273e-06 | Test: 1.1423e-04 | LR=8.7e-04 *
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 4.7074e-05 | BC: 3.9252e-05 | PDE: 7.8220e-02 | Val: 1.6585e-05 | Test: 1.1378e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 4.3350e-05 | BC: 3.5602e-05 | PDE: 7.7475e-02 | Val: 3.9680e-06 | Test: 1.0486e-04 | LR=8.4e-04 *
Epoch  28/100 | Steps:  28000 | α=1e-04 | Loss: 4.7029e-05 | BC: 3.9390e-05 | PDE: 7.6392e-02 | Val: 1.5947e-05 | Test: 1.2498e-04 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-04 | Loss: 4.3640e-05 | BC: 3.6674e-05 | PDE: 6.9656e-02 | Val: 3.9452e-06 | Test: 1.0068e-04 | LR=8.2e-04 *
Epoch  30/100 | Steps:  30000 | α=1e-04 | Loss: 3.7476e-05 | BC: 3.1101e-05 | PDE: 6.3748e-02 | Val: 6.8780e-05 | Test: 1.4911e-04 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-04 | Loss: 3.6049e-05 | BC: 3.0117e-05 | PDE: 5.9317e-02 | Val: 1.5242e-04 | Test: 2.4178e-04 | LR=8.0e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=2.9826e-05) <<<
Epoch  32/100 | Steps:  32000 | α=1e-03 | Loss: 3.5941e-05 | BC: 2.9826e-05 | PDE: 6.1146e-02 | Val: 6.8218e-06 | Test: 1.1129e-04 | LR=7.8e-04 *
Epoch  33/100 | Steps:  33000 | α=1e-03 | Loss: 9.0112e-04 | BC: 4.2363e-04 | PDE: 4.7748e-01 | Val: 4.2532e-05 | Test: 1.7133e-04 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-03 | Loss: 1.0882e-04 | BC: 5.3546e-05 | PDE: 5.5274e-02 | Val: 6.2319e-05 | Test: 1.7018e-04 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-03 | Loss: 1.0470e-04 | BC: 4.7276e-05 | PDE: 5.7428e-02 | Val: 2.1509e-05 | Test: 1.3890e-04 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-03 | Loss: 9.1189e-05 | BC: 4.0696e-05 | PDE: 5.0493e-02 | Val: 6.3406e-05 | Test: 1.7234e-04 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e-03 | Loss: 8.6229e-05 | BC: 3.5155e-05 | PDE: 5.1073e-02 | Val: 1.6597e-05 | Test: 1.3424e-04 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-03 | Loss: 8.0907e-05 | BC: 3.4035e-05 | PDE: 4.6872e-02 | Val: 1.6226e-05 | Test: 1.2785e-04 | LR=7.0e-04
