
============================================================
Eikonal Equation |∇u|² = 1 (2D)
Case: boundary | Domain: square
============================================================

  Interior: 1,000,000  |  Test: 10,000
  Boundary points: 40,000
  Re-sampling enabled: ~1,000,000 interior points per epoch

  Splitting: 80% train, 20% val
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: EikonalPINN (input_dim=2)
  Hidden layers: [128, 128, 128, 128], activation: tanh
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Positivity weight: 1.0
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  25000 | α=1e+01 | Loss: 1.8490e-03 | BC: 4.6412e-04 | PDE: 1.3848e-04 | Val: 3.6376e-04 | Test: 3.7511e-04 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e+01 | Loss: 1.4721e-03 | BC: 3.1084e-04 | PDE: 1.1612e-04 | Val: 3.0956e-04 | Test: 2.9350e-04 | LR=8.6e-04 *
Epoch  27/100 | Steps:  27000 | α=1e+01 | Loss: 2.2087e-03 | BC: 7.3891e-04 | PDE: 1.4698e-04 | Val: 7.2436e-04 | Test: 4.6479e-04 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e+01 | Loss: 2.2463e-03 | BC: 7.0718e-04 | PDE: 1.5391e-04 | Val: 3.6918e-04 | Test: 3.5871e-04 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e+01 | Loss: 6.8691e-04 | BC: 1.4371e-04 | PDE: 5.4321e-05 | Val: 1.9975e-04 | Test: 1.4315e-04 | LR=8.2e-04 *
Epoch  30/100 | Steps:  30000 | α=1e+01 | Loss: 1.3331e-03 | BC: 3.4817e-04 | PDE: 9.8492e-05 | Val: 2.1580e-04 | Test: 1.6195e-04 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e+01 | Loss: 1.5872e-03 | BC: 4.8659e-04 | PDE: 1.1006e-04 | Val: 5.0834e-05 | Test: 5.9186e-05 | LR=8.0e-04 *
Epoch  32/100 | Steps:  32000 | α=1e+01 | Loss: 8.6197e-04 | BC: 2.3310e-04 | PDE: 6.2887e-05 | Val: 2.4568e-03 | Test: 1.8700e-03 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | α=1e+01 | Loss: 9.4168e-04 | BC: 3.0517e-04 | PDE: 6.3650e-05 | Val: 4.6292e-04 | Test: 2.5149e-04 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e+01 | Loss: 1.6181e-03 | BC: 4.7101e-04 | PDE: 1.1471e-04 | Val: 1.9866e-03 | Test: 1.3622e-03 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e+01 | Loss: 2.0012e-03 | BC: 9.6344e-04 | PDE: 1.0378e-04 | Val: 2.2553e-04 | Test: 2.5250e-04 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e+01 | Loss: 1.3236e-03 | BC: 5.2041e-04 | PDE: 8.0323e-05 | Val: 6.3712e-04 | Test: 9.4503e-04 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e+01 | Loss: 7.6099e-04 | BC: 2.2489e-04 | PDE: 5.3609e-05 | Val: 2.5907e-04 | Test: 1.8198e-04 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e+01 | Loss: 9.5987e-04 | BC: 2.7431e-04 | PDE: 6.8556e-05 | Val: 1.3578e-04 | Test: 2.1985e-04 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e+01 | Loss: 8.0236e-04 | BC: 2.5850e-04 | PDE: 5.4387e-05 | Val: 2.8961e-05 | Test: 2.0905e-05 | LR=6.9e-04 *
Epoch  40/100 | Steps:  40000 | α=1e+01 | Loss: 6.9734e-04 | BC: 2.1662e-04 | PDE: 4.8071e-05 | Val: 7.6826e-04 | Test: 5.3001e-04 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e+01 | Loss: 5.7877e-04 | BC: 1.7679e-04 | PDE: 4.0198e-05 | Val: 1.2928e-04 | Test: 9.0491e-05 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e+01 | Loss: 9.0337e-04 | BC: 3.0998e-04 | PDE: 5.9339e-05 | Val: 1.6752e-04 | Test: 2.3422e-04 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e+01 | Loss: 1.4051e-03 | BC: 4.1763e-04 | PDE: 9.8747e-05 | Val: 2.9743e-04 | Test: 2.6709e-04 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e+01 | Loss: 4.9854e-04 | BC: 1.6526e-04 | PDE: 3.3328e-05 | Val: 7.0405e-05 | Test: 1.2480e-04 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=1e+01 | Loss: 4.4678e-04 | BC: 1.0894e-04 | PDE: 3.3783e-05 | Val: 1.8832e-04 | Test: 1.7872e-04 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=1e+01 | Loss: 1.0721e-03 | BC: 3.5649e-04 | PDE: 7.1558e-05 | Val: 3.2758e-04 | Test: 2.9405e-04 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=1e+01 | Loss: 3.5017e-04 | BC: 1.6768e-04 | PDE: 1.8249e-05 | Val: 3.2919e-04 | Test: 3.2930e-04 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | α=1e+01 | Loss: 1.4571e-03 | BC: 3.8816e-04 | PDE: 1.0690e-04 | Val: 3.4439e-05 | Test: 3.9527e-05 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=1e+01 | Loss: 4.8991e-04 | BC: 1.9265e-04 | PDE: 2.9727e-05 | Val: 1.5715e-04 | Test: 1.8413e-04 | LR=5.4e-04
Epoch  50/100 | Steps:  50000 | α=1e+01 | Loss: 6.0386e-04 | BC: 2.9025e-04 | PDE: 3.1361e-05 | Val: 1.8984e-04 | Test: 2.8315e-04 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | α=1e+01 | Loss: 1.1646e-03 | BC: 5.4175e-04 | PDE: 6.2284e-05 | Val: 4.2665e-04 | Test: 5.0870e-04 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | α=1e+01 | Loss: 7.2283e-04 | BC: 2.5450e-04 | PDE: 4.6833e-05 | Val: 2.8906e-04 | Test: 4.6566e-04 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | α=1e+01 | Loss: 7.0432e-04 | BC: 3.0617e-04 | PDE: 3.9815e-05 | Val: 3.3947e-04 | Test: 3.5425e-04 | LR=4.7e-04
Epoch  54/100 | Steps:  54000 | α=1e+01 | Loss: 5.8858e-04 | BC: 2.8987e-04 | PDE: 2.9870e-05 | Val: 1.4205e-04 | Test: 1.5464e-04 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=1e+01 | Loss: 4.2804e-04 | BC: 1.8705e-04 | PDE: 2.4099e-05 | Val: 1.8686e-04 | Test: 1.7660e-04 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | α=1e+01 | Loss: 5.9242e-04 | BC: 2.1490e-04 | PDE: 3.7752e-05 | Val: 2.9957e-04 | Test: 1.7454e-04 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | α=1e+01 | Loss: 1.8641e-04 | BC: 5.4822e-05 | PDE: 1.3158e-05 | Val: 6.8220e-06 | Test: 5.8530e-06 | LR=4.1e-04 *
Epoch  58/100 | Steps:  58000 | α=1e+01 | Loss: 4.5910e-04 | BC: 1.9668e-04 | PDE: 2.6242e-05 | Val: 1.7119e-04 | Test: 1.9345e-04 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | α=1e+01 | Loss: 2.7027e-04 | BC: 1.0141e-04 | PDE: 1.6885e-05 | Val: 1.6937e-04 | Test: 1.2925e-04 | LR=3.8e-04
Epoch  60/100 | Steps:  60000 | α=1e+01 | Loss: 1.3953e-04 | BC: 4.0564e-05 | PDE: 9.8966e-06 | Val: 5.8289e-05 | Test: 4.9914e-05 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | α=1e+01 | Loss: 2.4676e-04 | BC: 7.6993e-05 | PDE: 1.6976e-05 | Val: 6.7305e-05 | Test: 7.8100e-05 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | α=1e+01 | Loss: 2.1739e-04 | BC: 8.6880e-05 | PDE: 1.3051e-05 | Val: 9.8504e-05 | Test: 7.7770e-05 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | α=1e+01 | Loss: 1.8343e-04 | BC: 5.1355e-05 | PDE: 1.3207e-05 | Val: 3.1638e-05 | Test: 4.3208e-05 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | α=1e+01 | Loss: 5.5584e-05 | BC: 1.5796e-05 | PDE: 3.9788e-06 | Val: 1.1348e-05 | Test: 1.6291e-05 | LR=3.1e-04
Epoch  65/100 | Steps:  65000 | α=1e+01 | Loss: 8.2052e-05 | BC: 1.4632e-05 | PDE: 6.7420e-06 | Val: 1.7219e-05 | Test: 1.4974e-05 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | α=1e+01 | Loss: 2.7008e-04 | BC: 7.3683e-05 | PDE: 1.9640e-05 | Val: 8.9172e-05 | Test: 9.9125e-05 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | α=1e+01 | Loss: 1.8707e-04 | BC: 6.3269e-05 | PDE: 1.2381e-05 | Val: 9.5115e-05 | Test: 1.2595e-04 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | α=1e+01 | Loss: 1.5932e-04 | BC: 7.3635e-05 | PDE: 8.5681e-06 | Val: 8.1335e-05 | Test: 1.3994e-04 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=1e+01 | Loss: 1.2290e-04 | BC: 6.0904e-05 | PDE: 6.1996e-06 | Val: 1.7362e-05 | Test: 3.9202e-05 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | α=1e+01 | Loss: 1.3730e-04 | BC: 5.5811e-05 | PDE: 8.1493e-06 | Val: 1.9378e-05 | Test: 2.5859e-05 | LR=2.3e-04
Epoch  71/100 | Steps:  71000 | α=1e+01 | Loss: 1.1157e-04 | BC: 4.7629e-05 | PDE: 6.3936e-06 | Val: 2.4849e-05 | Test: 5.0708e-05 | LR=2.1e-04
Epoch  72/100 | Steps:  72000 | α=1e+01 | Loss: 2.9633e-04 | BC: 1.7603e-04 | PDE: 1.2030e-05 | Val: 3.3955e-04 | Test: 4.8741e-04 | LR=2.0e-04
Epoch  73/100 | Steps:  73000 | α=1e+01 | Loss: 2.7291e-04 | BC: 1.9084e-04 | PDE: 8.2074e-06 | Val: 6.5733e-05 | Test: 1.7691e-04 | LR=1.9e-04
Epoch  74/100 | Steps:  74000 | α=1e+01 | Loss: 1.0593e-04 | BC: 6.1411e-05 | PDE: 4.4516e-06 | Val: 3.6310e-05 | Test: 9.9412e-05 | LR=1.8e-04
Epoch  75/100 | Steps:  75000 | α=1e+01 | Loss: 1.0950e-04 | BC: 5.6710e-05 | PDE: 5.2795e-06 | Val: 5.1594e-05 | Test: 8.8955e-05 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | α=1e+01 | Loss: 1.0079e-04 | BC: 5.1099e-05 | PDE: 4.9696e-06 | Val: 5.5844e-05 | Test: 8.1068e-05 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | α=1e+01 | Loss: 9.9045e-05 | BC: 4.1115e-05 | PDE: 5.7930e-06 | Val: 2.8316e-05 | Test: 4.2511e-05 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | α=1e+01 | Loss: 4.3394e-05 | BC: 2.2403e-05 | PDE: 2.0991e-06 | Val: 1.0561e-05 | Test: 2.8189e-05 | LR=1.3e-04
Epoch  79/100 | Steps:  79000 | α=1e+01 | Loss: 4.5524e-05 | BC: 1.4624e-05 | PDE: 3.0900e-06 | Val: 7.2441e-06 | Test: 1.2534e-05 | LR=1.2e-04
Epoch  80/100 | Steps:  80000 | α=1e+01 | Loss: 3.2101e-05 | BC: 9.3127e-06 | PDE: 2.2789e-06 | Val: 8.9554e-06 | Test: 1.0248e-05 | LR=1.1e-04
Epoch  81/100 | Steps:  81000 | α=1e+01 | Loss: 4.2264e-05 | BC: 1.3317e-05 | PDE: 2.8947e-06 | Val: 3.7742e-06 | Test: 3.5620e-06 | LR=1.0e-04 *
Epoch  82/100 | Steps:  82000 | α=1e+01 | Loss: 2.1105e-05 | BC: 6.5412e-06 | PDE: 1.4564e-06 | Val: 2.8491e-06 | Test: 2.8113e-06 | LR=9.6e-05 *
Epoch  83/100 | Steps:  83000 | α=1e+01 | Loss: 2.3720e-05 | BC: 6.2851e-06 | PDE: 1.7435e-06 | Val: 1.4213e-05 | Test: 1.6198e-05 | LR=8.7e-05
Epoch  84/100 | Steps:  84000 | α=1e+01 | Loss: 1.3990e-05 | BC: 4.9977e-06 | PDE: 8.9927e-07 | Val: 3.5427e-06 | Test: 7.4109e-06 | LR=7.9e-05
Epoch  85/100 | Steps:  85000 | α=1e+01 | Loss: 1.7675e-05 | BC: 5.7773e-06 | PDE: 1.1897e-06 | Val: 7.1641e-06 | Test: 1.0092e-05 | LR=7.1e-05
Epoch  86/100 | Steps:  86000 | α=1e+01 | Loss: 3.3235e-05 | BC: 1.2200e-05 | PDE: 2.1035e-06 | Val: 8.7359e-06 | Test: 1.0474e-05 | LR=6.4e-05
Epoch  87/100 | Steps:  87000 | α=1e+01 | Loss: 1.2129e-05 | BC: 4.5545e-06 | PDE: 7.5745e-07 | Val: 4.5560e-06 | Test: 6.5617e-06 | LR=5.7e-05
Epoch  88/100 | Steps:  88000 | α=1e+01 | Loss: 1.1980e-05 | BC: 4.4548e-06 | PDE: 7.5255e-07 | Val: 4.7721e-06 | Test: 4.6332e-06 | LR=5.1e-05
Epoch  89/100 | Steps:  89000 | α=1e+01 | Loss: 7.7023e-06 | BC: 2.0530e-06 | PDE: 5.6493e-07 | Val: 1.8283e-06 | Test: 3.1423e-06 | LR=4.5e-05 *
Epoch  90/100 | Steps:  90000 | α=1e+01 | Loss: 7.6180e-06 | BC: 1.9664e-06 | PDE: 5.6516e-07 | Val: 1.8803e-06 | Test: 3.2454e-06 | LR=3.9e-05
Epoch  91/100 | Steps:  91000 | α=1e+01 | Loss: 1.4645e-05 | BC: 4.3791e-06 | PDE: 1.0266e-06 | Val: 2.3024e-06 | Test: 2.2894e-06 | LR=3.4e-05
Epoch  92/100 | Steps:  92000 | α=1e+01 | Loss: 7.4494e-06 | BC: 2.3357e-06 | PDE: 5.1137e-07 | Val: 1.8103e-06 | Test: 1.3009e-06 | LR=3.0e-05 *
Epoch  93/100 | Steps:  93000 | α=1e+01 | Loss: 5.9086e-06 | BC: 1.7030e-06 | PDE: 4.2055e-07 | Val: 1.5067e-06 | Test: 9.6359e-07 | LR=2.6e-05 *
Epoch  94/100 | Steps:  94000 | α=1e+01 | Loss: 5.4751e-06 | BC: 1.5414e-06 | PDE: 3.9337e-07 | Val: 1.1314e-06 | Test: 6.5929e-07 | LR=2.2e-05 *
Epoch  95/100 | Steps:  95000 | α=1e+01 | Loss: 6.6414e-06 | BC: 1.9688e-06 | PDE: 4.6726e-07 | Val: 1.8952e-06 | Test: 1.7483e-06 | LR=1.9e-05
Epoch  96/100 | Steps:  96000 | α=1e+01 | Loss: 4.8866e-06 | BC: 1.2942e-06 | PDE: 3.5924e-07 | Val: 1.2579e-06 | Test: 7.5057e-07 | LR=1.6e-05
Epoch  97/100 | Steps:  97000 | α=1e+01 | Loss: 6.4437e-06 | BC: 1.5950e-06 | PDE: 4.8487e-07 | Val: 6.9439e-06 | Test: 5.1207e-06 | LR=1.4e-05
Epoch  98/100 | Steps:  98000 | α=1e+01 | Loss: 5.3457e-06 | BC: 1.9082e-06 | PDE: 3.4375e-07 | Val: 1.1536e-06 | Test: 1.7173e-06 | LR=1.2e-05
Epoch  99/100 | Steps:  99000 | α=1e+01 | Loss: 3.8109e-06 | BC: 1.0664e-06 | PDE: 2.7445e-07 | Val: 1.1233e-06 | Test: 1.6509e-06 | LR=1.1e-05 *
Epoch 100/100 | Steps: 100000 | α=1e+01 | Loss: 3.6002e-06 | BC: 9.5587e-07 | PDE: 2.6443e-07 | Val: 9.0206e-07 | Test: 1.7133e-06 | LR=1.0e-05 *

Restored best model from epoch 100 (val_loss: 9.0206e-07, test_loss: 1.7133e-06)
Best checkpoint saved to: outputs/expr_7_3/eikonal_square/checkpoints/best_model.pt
Final checkpoint saved to: outputs/expr_7_3/eikonal_square/checkpoints/final_model.pt
Training completed in 645.08s (100,000 total steps)

Final Test MSE: 1.7133e-06
Inference (per point): 7.8697e-05s | (full domain): 7.6711e-05s
Saved .npz files to outputs/expr_7_3/eikonal_square/npy/
Saved plot to outputs/expr_7_3/eikonal_square/plots/results.png
