
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,412

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  22/100 | Steps:  22000 | α=1e-04 | Loss: 2.4975e-04 | BC: 1.3742e-04 | PDE: 3.6854e-01 | Intf: 7.5472e-05 | Val: 4.6637e-04 | Test: 1.2388e-03 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | α=1e-04 | Loss: 2.5495e-04 | BC: 1.3049e-04 | PDE: 3.6476e-01 | Intf: 8.7994e-05 | Val: 4.6286e-04 | Test: 1.2188e-03 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | α=1e-04 | Loss: 2.3693e-04 | BC: 1.2253e-04 | PDE: 3.5447e-01 | Intf: 7.8954e-05 | Val: 3.8496e-05 | Test: 8.9529e-04 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 2.6507e-04 | BC: 1.4241e-04 | PDE: 3.4451e-01 | Intf: 8.8210e-05 | Val: 1.3592e-04 | Test: 9.4000e-04 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 2.1070e-04 | BC: 1.0927e-04 | PDE: 3.3271e-01 | Intf: 6.8154e-05 | Val: 5.1370e-05 | Test: 8.3753e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 2.0638e-04 | BC: 1.0663e-04 | PDE: 3.2351e-01 | Intf: 6.7404e-05 | Val: 8.6733e-05 | Test: 8.2402e-04 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e-04 | Loss: 2.3391e-04 | BC: 1.1326e-04 | PDE: 3.1871e-01 | Intf: 8.8779e-05 | Val: 7.2005e-05 | Test: 8.2537e-04 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-04 | Loss: 2.0850e-04 | BC: 1.1034e-04 | PDE: 3.0546e-01 | Intf: 6.7614e-05 | Val: 2.5986e-05 | Test: 7.7141e-04 | LR=8.2e-04 *
Epoch  30/100 | Steps:  30000 | α=1e-04 | Loss: 1.7243e-04 | BC: 8.6827e-05 | PDE: 2.9907e-01 | Intf: 5.5701e-05 | Val: 1.2091e-04 | Test: 7.8886e-04 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-04 | Loss: 2.7296e-04 | BC: 1.3081e-04 | PDE: 2.9247e-01 | Intf: 1.1290e-04 | Val: 2.2292e-04 | Test: 7.9716e-04 | LR=8.0e-04
