
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Parameters: 50,049

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  19600 | α=1e-04 | Loss: 6.6025e-05 | BC: 4.8423e-05 | PDE: 1.7602e-01 | Val: 3.4383e-06 | Test: 9.6676e-05 | LR=8.7e-04 *
Epoch  26/100 | Steps:  20384 | α=1e-04 | Loss: 5.9388e-05 | BC: 4.1894e-05 | PDE: 1.7494e-01 | Val: 2.3331e-05 | Test: 1.1645e-04 | LR=8.6e-04
Epoch  27/100 | Steps:  21168 | α=1e-04 | Loss: 7.0224e-05 | BC: 5.3449e-05 | PDE: 1.6775e-01 | Val: 1.6530e-05 | Test: 1.0347e-04 | LR=8.4e-04
Epoch  28/100 | Steps:  21952 | α=1e-04 | Loss: 5.1967e-05 | BC: 3.6188e-05 | PDE: 1.5778e-01 | Val: 7.2738e-05 | Test: 1.9997e-04 | LR=8.3e-04
Epoch  29/100 | Steps:  22736 | α=1e-04 | Loss: 5.9777e-05 | BC: 4.4830e-05 | PDE: 1.4946e-01 | Val: 1.2661e-04 | Test: 6.5208e-04 | LR=8.2e-04
Epoch  30/100 | Steps:  23520 | α=1e-04 | Loss: 5.9792e-05 | BC: 4.4839e-05 | PDE: 1.4953e-01 | Val: 1.5737e-05 | Test: 5.9237e-05 | LR=8.1e-04
Epoch  31/100 | Steps:  24304 | α=1e-04 | Loss: 4.1434e-05 | BC: 2.7367e-05 | PDE: 1.4068e-01 | Val: 2.3631e-05 | Test: 1.3570e-04 | LR=8.0e-04
Epoch  32/100 | Steps:  25088 | α=1e-04 | Loss: 5.7832e-05 | BC: 4.3732e-05 | PDE: 1.4100e-01 | Val: 5.4766e-05 | Test: 1.6422e-04 | LR=7.8e-04
Epoch  33/100 | Steps:  25872 | α=1e-04 | Loss: 4.7641e-05 | BC: 3.3988e-05 | PDE: 1.3653e-01 | Val: 7.6533e-06 | Test: 4.5393e-05 | LR=7.7e-04
Epoch  34/100 | Steps:  26656 | α=1e-04 | Loss: 4.3847e-05 | BC: 3.1129e-05 | PDE: 1.2718e-01 | Val: 1.3699e-04 | Test: 1.7752e-04 | LR=7.6e-04
