
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 33,537

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 1.0091e-05 | BC: 9.4450e-06 | PDE: 6.4560e-03 | Val: 1.1688e-06 | Test: 1.6236e-05 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 9.8681e-06 | BC: 9.2980e-06 | PDE: 5.7004e-03 | Val: 4.0381e-07 | Test: 1.4730e-05 | LR=8.6e-04
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 1.7474e-05 | BC: 1.6745e-05 | PDE: 7.2963e-03 | Val: 1.0096e-07 | Test: 1.1537e-05 | LR=8.4e-04 *
Epoch  28/100 | Steps:  28000 | α=1e-04 | Loss: 4.7065e-06 | BC: 4.3335e-06 | PDE: 3.7307e-03 | Val: 5.6041e-06 | Test: 1.7298e-05 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-04 | Loss: 1.0496e-05 | BC: 9.7012e-06 | PDE: 7.9511e-03 | Val: 1.3666e-05 | Test: 2.1121e-05 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-04 | Loss: 7.9170e-06 | BC: 7.5075e-06 | PDE: 4.0950e-03 | Val: 3.0447e-05 | Test: 2.6581e-05 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-04 | Loss: 3.4943e-05 | BC: 3.4051e-05 | PDE: 8.9115e-03 | Val: 3.8883e-08 | Test: 6.5433e-06 | LR=8.0e-04 *
Epoch  32/100 | Steps:  32000 | α=1e-04 | Loss: 2.9661e-07 | BC: 1.0803e-07 | PDE: 1.8859e-03 | Val: 2.6518e-07 | Test: 6.6896e-06 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | α=1e-04 | Loss: 7.1961e-06 | BC: 6.7391e-06 | PDE: 4.5696e-03 | Val: 2.1835e-06 | Test: 9.7244e-06 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-04 | Loss: 8.3852e-06 | BC: 7.8999e-06 | PDE: 4.8534e-03 | Val: 2.0002e-06 | Test: 5.9416e-06 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-04 | Loss: 6.8712e-06 | BC: 6.4500e-06 | PDE: 4.2127e-03 | Val: 2.1971e-07 | Test: 5.1852e-06 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-04 | Loss: 6.7842e-06 | BC: 6.4242e-06 | PDE: 3.5998e-03 | Val: 4.2059e-07 | Test: 4.9172e-06 | LR=7.3e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=6.4302e-06) <<<
Epoch  37/100 | Steps:  37000 | α=1e-03 | Loss: 6.8077e-06 | BC: 6.4302e-06 | PDE: 3.7747e-03 | Val: 9.1194e-07 | Test: 4.9698e-06 | LR=7.2e-04 *
Epoch  38/100 | Steps:  38000 | α=1e-03 | Loss: 2.2881e-05 | BC: 8.7896e-06 | PDE: 1.4091e-02 | Val: 5.2100e-06 | Test: 4.7853e-06 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-03 | Loss: 6.4317e-06 | BC: 4.2233e-06 | PDE: 2.2084e-03 | Val: 8.7299e-07 | Test: 3.4284e-06 | LR=6.9e-04 *
Epoch  40/100 | Steps:  40000 | α=1e-03 | Loss: 7.3524e-06 | BC: 4.7483e-06 | PDE: 2.6040e-03 | Val: 6.5696e-07 | Test: 2.8985e-06 | LR=6.7e-04 *
Epoch  41/100 | Steps:  41000 | α=1e-03 | Loss: 7.6554e-06 | BC: 5.5265e-06 | PDE: 2.1289e-03 | Val: 2.0072e-06 | Test: 5.4694e-06 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-03 | Loss: 7.6117e-06 | BC: 5.1389e-06 | PDE: 2.4728e-03 | Val: 1.1759e-06 | Test: 3.4080e-06 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-03 | Loss: 6.9133e-06 | BC: 4.6935e-06 | PDE: 2.2198e-03 | Val: 2.3451e-06 | Test: 4.1456e-06 | LR=6.3e-04
