
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 13,188

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: ReLoBRaLo
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  21/100 | Steps:  21000 | w_bc=0.98 w_pde=1.02 | Loss: 1.3973e-04 | BC: 6.1390e-05 | PDE: 1.6682e-05 | Intf: 6.3113e-05 | Val: 6.0959e-04 | Test: 3.3669e-04 | LR=9.1e-04
Epoch  22/100 | Steps:  22000 | w_bc=0.96 w_pde=1.04 | Loss: 1.2502e-04 | BC: 5.3568e-05 | PDE: 1.7405e-05 | Intf: 5.4910e-05 | Val: 1.1613e-05 | Test: 1.2421e-05 | LR=9.0e-04
Epoch  23/100 | Steps:  23000 | w_bc=1.03 w_pde=0.97 | Loss: 1.2261e-04 | BC: 5.4822e-05 | PDE: 1.7607e-05 | Intf: 5.1171e-05 | Val: 1.3850e-05 | Test: 1.0880e-05 | LR=8.9e-04
Epoch  24/100 | Steps:  24000 | w_bc=1.00 w_pde=1.00 | Loss: 1.4478e-04 | BC: 5.4710e-05 | PDE: 2.9356e-05 | Intf: 6.0435e-05 | Val: 6.6112e-05 | Test: 4.4334e-05 | LR=8.8e-04
Epoch  25/100 | Steps:  25000 | w_bc=1.02 w_pde=0.98 | Loss: 1.3629e-04 | BC: 5.5009e-05 | PDE: 1.7449e-05 | Intf: 6.2912e-05 | Val: 5.9939e-07 | Test: 1.2571e-06 | LR=8.7e-04 *
Epoch  26/100 | Steps:  26000 | w_bc=1.01 w_pde=0.99 | Loss: 9.7699e-05 | BC: 4.0235e-05 | PDE: 1.2277e-05 | Intf: 4.4580e-05 | Val: 2.7146e-07 | Test: 1.3036e-06 | LR=8.6e-04 *
Epoch  27/100 | Steps:  27000 | w_bc=0.97 w_pde=1.03 | Loss: 8.6658e-05 | BC: 3.8486e-05 | PDE: 1.2422e-05 | Intf: 3.5974e-05 | Val: 5.0156e-05 | Test: 8.9381e-05 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | w_bc=0.97 w_pde=1.03 | Loss: 1.2154e-04 | BC: 4.7773e-05 | PDE: 2.0393e-05 | Intf: 5.4116e-05 | Val: 1.8236e-04 | Test: 9.6873e-05 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | w_bc=0.97 w_pde=1.03 | Loss: 9.5690e-05 | BC: 3.7490e-05 | PDE: 1.9793e-05 | Intf: 3.9086e-05 | Val: 5.6067e-05 | Test: 3.7106e-05 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | w_bc=0.98 w_pde=1.02 | Loss: 1.1480e-04 | BC: 4.7408e-05 | PDE: 2.7638e-05 | Intf: 4.0303e-05 | Val: 2.2348e-05 | Test: 1.1971e-05 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | w_bc=1.04 w_pde=0.96 | Loss: 9.9733e-05 | BC: 4.6045e-05 | PDE: 1.4439e-05 | Intf: 3.8510e-05 | Val: 2.0605e-07 | Test: 8.8425e-07 | LR=8.0e-04 *
Epoch  32/100 | Steps:  32000 | w_bc=1.02 w_pde=0.98 | Loss: 8.5302e-05 | BC: 3.3616e-05 | PDE: 1.4901e-05 | Intf: 3.6286e-05 | Val: 6.2725e-06 | Test: 8.9357e-06 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | w_bc=1.02 w_pde=0.98 | Loss: 9.2119e-05 | BC: 3.8020e-05 | PDE: 1.5150e-05 | Intf: 3.8724e-05 | Val: 3.1527e-07 | Test: 5.5932e-07 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | w_bc=0.98 w_pde=1.02 | Loss: 7.6507e-05 | BC: 3.0799e-05 | PDE: 1.2608e-05 | Intf: 3.3247e-05 | Val: 3.2608e-06 | Test: 2.9773e-06 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | w_bc=0.92 w_pde=1.08 | Loss: 6.9851e-05 | BC: 3.2198e-05 | PDE: 1.0854e-05 | Intf: 2.8106e-05 | Val: 1.1637e-04 | Test: 6.4134e-05 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | w_bc=0.99 w_pde=1.01 | Loss: 7.3409e-05 | BC: 3.7211e-05 | PDE: 1.4734e-05 | Intf: 2.2123e-05 | Val: 1.1681e-06 | Test: 1.1090e-06 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | w_bc=0.98 w_pde=1.02 | Loss: 7.4517e-05 | BC: 2.7829e-05 | PDE: 1.6058e-05 | Intf: 3.0730e-05 | Val: 5.2225e-06 | Test: 3.0958e-06 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | w_bc=0.99 w_pde=1.01 | Loss: 7.5421e-05 | BC: 3.0502e-05 | PDE: 1.6307e-05 | Intf: 2.8912e-05 | Val: 8.7182e-06 | Test: 5.0149e-06 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | w_bc=1.00 w_pde=1.00 | Loss: 6.2137e-05 | BC: 2.2949e-05 | PDE: 1.5667e-05 | Intf: 2.3506e-05 | Val: 1.3921e-05 | Test: 1.2457e-05 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | w_bc=1.04 w_pde=0.96 | Loss: 8.1024e-05 | BC: 3.3138e-05 | PDE: 1.2366e-05 | Intf: 3.5139e-05 | Val: 7.2355e-06 | Test: 4.2496e-06 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | w_bc=1.01 w_pde=0.99 | Loss: 3.5297e-05 | BC: 1.4269e-05 | PDE: 5.9479e-06 | Intf: 1.4988e-05 | Val: 1.8918e-06 | Test: 1.8270e-06 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | w_bc=1.00 w_pde=1.00 | Loss: 5.4458e-05 | BC: 2.2644e-05 | PDE: 9.2203e-06 | Intf: 2.2577e-05 | Val: 1.2810e-05 | Test: 2.0758e-05 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | w_bc=0.99 w_pde=1.01 | Loss: 7.9587e-05 | BC: 3.0764e-05 | PDE: 1.6538e-05 | Intf: 3.2319e-05 | Val: 5.3591e-06 | Test: 2.8777e-06 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | w_bc=0.99 w_pde=1.01 | Loss: 3.0371e-05 | BC: 1.2499e-05 | PDE: 6.2864e-06 | Intf: 1.1678e-05 | Val: 5.9005e-07 | Test: 7.7592e-07 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | w_bc=0.99 w_pde=1.01 | Loss: 4.9675e-05 | BC: 1.8905e-05 | PDE: 1.0847e-05 | Intf: 2.0045e-05 | Val: 3.7996e-06 | Test: 2.8908e-06 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | w_bc=1.02 w_pde=0.98 | Loss: 4.5338e-05 | BC: 2.1950e-05 | PDE: 7.3163e-06 | Intf: 1.6051e-05 | Val: 7.2075e-05 | Test: 3.4119e-05 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | w_bc=0.97 w_pde=1.03 | Loss: 3.9203e-05 | BC: 1.5310e-05 | PDE: 6.3274e-06 | Intf: 1.7702e-05 | Val: 2.8808e-05 | Test: 1.6484e-05 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | w_bc=1.01 w_pde=0.99 | Loss: 3.7622e-05 | BC: 1.5904e-05 | PDE: 7.0418e-06 | Intf: 1.4677e-05 | Val: 3.9824e-05 | Test: 2.1131e-05 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | w_bc=0.99 w_pde=1.01 | Loss: 3.3949e-05 | BC: 1.2692e-05 | PDE: 7.5050e-06 | Intf: 1.3776e-05 | Val: 8.2726e-07 | Test: 1.0429e-06 | LR=5.4e-04
Epoch  50/100 | Steps:  50000 | w_bc=1.00 w_pde=1.00 | Loss: 3.8725e-05 | BC: 1.6351e-05 | PDE: 8.0206e-06 | Intf: 1.4424e-05 | Val: 2.4799e-05 | Test: 1.2462e-05 | LR=5.2e-04
