
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  25/100 | Steps:  25000 | α=1e-04 | Loss: 1.9911e-05 | BC: 1.8117e-05 | PDE: 1.7942e-02 | Val: 8.6787e-06 | Test: 6.6765e-06 | LR=8.7e-04
Epoch  26/100 | Steps:  26000 | α=1e-04 | Loss: 2.2468e-05 | BC: 2.0891e-05 | PDE: 1.5773e-02 | Val: 9.2293e-08 | Test: 1.2564e-07 | LR=8.6e-04 *
Epoch  27/100 | Steps:  27000 | α=1e-04 | Loss: 7.9268e-06 | BC: 7.2977e-06 | PDE: 6.2915e-03 | Val: 1.4372e-06 | Test: 1.3099e-06 | LR=8.4e-04
Epoch  28/100 | Steps:  28000 | α=1e-04 | Loss: 1.5018e-05 | BC: 1.3765e-05 | PDE: 1.2521e-02 | Val: 5.8196e-06 | Test: 3.0574e-06 | LR=8.3e-04
Epoch  29/100 | Steps:  29000 | α=1e-04 | Loss: 1.6536e-05 | BC: 1.4661e-05 | PDE: 1.8746e-02 | Val: 1.8209e-07 | Test: 7.2842e-07 | LR=8.2e-04
Epoch  30/100 | Steps:  30000 | α=1e-04 | Loss: 1.2198e-05 | BC: 1.0997e-05 | PDE: 1.2010e-02 | Val: 2.7751e-07 | Test: 7.9767e-07 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-04 | Loss: 1.2713e-05 | BC: 1.1470e-05 | PDE: 1.2428e-02 | Val: 3.3719e-05 | Test: 3.2199e-05 | LR=8.0e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=1.2248e-05) <<<
Epoch  32/100 | Steps:  32000 | α=1e-03 | Loss: 1.3593e-05 | BC: 1.2248e-05 | PDE: 1.3448e-02 | Val: 4.6900e-07 | Test: 5.1466e-07 | LR=7.8e-04 *
Epoch  33/100 | Steps:  33000 | α=1e-03 | Loss: 1.3437e-04 | BC: 4.4090e-05 | PDE: 9.0280e-02 | Val: 7.4484e-06 | Test: 1.0852e-05 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-03 | Loss: 1.8729e-05 | BC: 1.6289e-05 | PDE: 2.4404e-03 | Val: 1.5449e-05 | Test: 1.3239e-05 | LR=7.6e-04
